11	192.168.1.211	2018-03-06 14:11:46
11	192.168.1.211	2018-03-06 14:11:46
11	192.168.1.211	2018-03-06 14:11:47
11	192.168.1.211	2018-03-06 14:11:47
11	160.39.129.135	2018-03-06 17:45:14
11	160.39.129.135	2018-03-06 17:45:14
11	160.39.129.135	2018-03-06 17:45:16
11	160.39.129.135	2018-03-06 17:45:16
42	17.248.135.72	2018-03-06 17:45:16
29	17.248.135.72	2018-03-06 17:45:17
11	160.39.129.135	2018-03-06 18:03:22
11	160.39.129.135	2018-03-06 18:03:22
11	160.39.129.135	2018-03-06 18:03:25
11	160.39.129.135	2018-03-06 18:03:25
13	17.248.131.171	2018-03-06 18:03:25
13	192.168.1.211	2018-03-07 11:58:21
13	192.168.1.211	2018-03-07 11:59:34
13	192.168.1.211	2018-03-07 11:59:34
